"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","light","night","time","leave","god","baby","love","tonight","fall","girl","hand","heart","boy","day","ive"
"2","rain","life","mind","call","heaven","youre","kiss","gotta","chorus","world","people","break","bad","cry","feeling"
"3","stars","hold","hard","waiting","angel","ill","true","move","youve","run","watch","forever","lady","play","stay"
"4","fire","live","mine","home","whoa","care","touch","dance","talk","shes","round","wrong","hit","hear","walk"
"5","sun","dream","youll","miss","river","crazy","lover","body","friend","coming","sound","hurt","easy","song","eyes"
"6","blue","fight","stand","left","lord","youll","christmas","beat","change","money","drive","inside","damn","words","lose"
"7","shine","hope","remember","didnt","rise","stop","sweet","party","hes","makes","white","start","gon","tears","close"
"8","fly","breath","matter","late","ground","babe","share","alright","lie","guy","town","arms","pop","sing","free"
"9","sky","real","happy","head","child","honey","darling","stop","goodbye","imma","wild","soul","wit","bring","set"
"10","burn","lonely","reason","thinking","king","lovin","tender","hot","forget","push","theyre","fool","nothin","smile","chance"
"11","dark","sleep","weve","bout","sweet","top","closer","rock","beautiful","pretty","woof","understand","club","woman","alive"
"12","tomorrow","morning","moment","road","peace","thinking","promise","ride","whats","gold","throw","listen","shit","save","perfect"
"13","wind","die","happen","sit","born","lips","emotion","ready","hate","pay","black","strong","chorus","pain","mind"
"14","cold","lost","finally","secret","joy","read","means","step","truth","hair","house","couldnt","low","sad","lay"
"15","tired","worth","found","ring","cross","glad","merry","music","whos","kinda","red","learn","dirty","laugh","hide"
"16","moon","tight","waste","told","magic","promise","met","shake","bridge","half","send","broken","ima","everyday","door"
"17","blind","wake","memories","bed","earth","swear","satisfied","yea","telling","told","door","takes","sex","hour","kill"
"18","summer","till","guess","phone","blood","prove","darlin","feet","trouble","treat","mad","deep","doin","forgive","afraid"
"19","fade","scared","fine","lie","begin","pretty","lasts","head","answer","shell","daddy","bit","huh","wall","searching"
"20","bright","keeping","wonderful","thinkin","children","tumbling","taste","floor","caught","ohoh","dress","belong","yall","pick","anymore"
